page,link,author,source,title,date,category,subcategory
0801,https://github.com/lilbud/btx-article-dump/articles/book_review/2012-11-06_americans_may_never_get_weary_of_the_[0801].md,Dwight Garner,The New York Times,Americans May Never Get Weary of the Boss,2012-11-06,Book Review,
0802,https://github.com/lilbud/btx-article-dump/articles/album_review/human_touch/1992-04-30_anthony-decurtis_rolling-stone_[0802].md,Anthony Decurtis,Rolling Stone,Human Touch Review,1992-04-30,Album Review,Human Touch
0803,https://github.com/lilbud/btx-article-dump/articles/concert_review/2002-10-22_bruce_springsteen_at_wembley_arena_[0803].md,David Cheal,The Daily Telegraph,Bruce Springsteen at Wembley Arena,2002-10-22,Concert Review,
0804,https://github.com/lilbud/btx-article-dump/articles/concert_review/1988-02-26_springsteen_starts_first_tour_in_2_years_[0804].md,Jon Pareles,The New York Times,Springsteen Starts First Tour in 2 Years,1988-02-26,Concert Review,
0805,https://github.com/lilbud/btx-article-dump/articles/concert_review/1988-05-16_springsteen_at_the_garden_[0805].md,Stephen Holden,The New York Times,Springsteen at the Garden,1988-05-16,Concert Review,
0806,https://github.com/lilbud/btx-article-dump/articles/album_review/lucky_town/1992-04-30_anthony-decurtis_rolling-stone_[0806].md,Anthony Decurtis,Rolling Stone,Lucky Town Review,1992-04-30,Album Review,Lucky Town
0807,https://github.com/lilbud/btx-article-dump/articles/album_review/greatest_hits/1995-04-06_parke-puterbaugh_rolling-stone_[0807].md,Parke Puterbaugh,Rolling Stone,Greatest Hits review,1995-04-06,Album Review,Greatest Hits
0808,https://github.com/lilbud/btx-article-dump/articles/album_review/the_rising/2002-07-30_kurt-loder_rolling-stone_[0808].md,Kurt Loder,Rolling Stone,The Rising Review,2002-07-30,Album Review,The Rising
0809,https://github.com/lilbud/btx-article-dump/articles/album_review/devils_&_dust/2005-05-05_david-fricke_rolling-stone_[0809].md,David Fricke,Rolling Stone,Devils and Dust Review,2005-05-05,Album Review,Devils & Dust
0810,https://github.com/lilbud/btx-article-dump/articles/album_review/magic/2007-10-18_david-fricke_rolling-stone_[0810].md,David Fricke,Rolling Stone,Magic Review,2007-10-18,Album Review,Magic
0811,https://github.com/lilbud/btx-article-dump/articles/album_review/working_on_a_dream/2009-01-21_brian-hiatt_rolling-stone_[0811].md,Brian Hiatt,Rolling Stone,Working On A Dream Review,2009-01-21,Album Review,Working On A Dream
0812,https://github.com/lilbud/btx-article-dump/articles/album_review/wrecking_ball/2012-03-06_david-fricke_rolling-stone_[0812].md,David Fricke,Rolling Stone,Wrecking Ball Review,2012-03-06,Album Review,Wrecking Ball
0813,https://github.com/lilbud/btx-article-dump/articles/interview/1973-04-26_bruce_springsteen_it_s_sign_up_a_genius_[0813].md,Stuart Werbin,Rolling Stone,Bruce Springsteen: It's Sign Up a Genius Month,1973-04-26,Interview,
0901,https://github.com/lilbud/btx-article-dump/articles/concert_review/2012-04-27_bruce_springsteen_and_the_e_street_band_[0901].md,Evelyn McDonnell,The LA Times,Bruce Springsteen and the E Street Band at Sports Arena,2012-04-27,Concert Review,
0902,https://github.com/lilbud/btx-article-dump/articles/concert_review/2012-09-03_an_epic_night_in_philadelphia_[0902].md,John Fea,The Way of Improvement Leads Home,An Epic Night in Philadelphia,2012-09-03,Concert Review,
0903,https://github.com/lilbud/btx-article-dump/articles/album_review/working_on_a_dream/2009-01-28_nme_[0903].md,NME,NME,Working On A Dream Review,2009-01-28,Album Review,Working On A Dream
0904,https://github.com/lilbud/btx-article-dump/articles/concert_review/2008-05-02_bruce_springsteen_and_the_e_street_band_[0904].md,Jim Smith,Unknown,Bruce Springsteen and The E Street Band - Making Magic in South Florida,2008-05-02,Concert Review,
0905,https://github.com/lilbud/btx-article-dump/articles/concert_review/2012-09-03_bruce_springsteen_flirts_with_the_four_[0905].md,Tris McCall,The Star-Ledger,Bruce Springsteen flirts with the four-hour mark in Philadelphia,2012-09-03,Concert Review,
0906,https://github.com/lilbud/btx-article-dump/articles/book_review/2012-11-09_bruce_hits_all_the_right_notes_[0906].md,Don Ermen,Ottawa Sun,Bruce hits all the right notes,2012-11-09,Book Review,
0907,https://github.com/lilbud/btx-article-dump/articles/concert_review/2005-07-14_an_intimate_evening_with_the_boss_[0907].md,Jane Stevenson,Toronto Sun,An intimate evening with the Boss,2005-07-14,Concert Review,
0908,https://github.com/lilbud/btx-article-dump/articles/concert_review/2012-08-14_springsteen_delivers_a_moving_house_at_[0908].md,Peter Chianca,Wicked Local,Springsteen delivers a moving house party at Fenway,2012-08-14,Concert Review,
0909,https://github.com/lilbud/btx-article-dump/articles/concert_review/2012-08-15_springsteen_s_second_fenway_show_a_loose_[0909].md,Peter Chianca,Wicked Local,Springsteen's second Fenway show spotlights a loose Bruce,2012-08-15,Concert Review,
0910,https://github.com/lilbud/btx-article-dump/articles/concert_review/2012-08-24_rogers_centre_toronto_aug_24_2012_[0910].md,Jason Macneil,QMI Agency,"Rogers Centre, Toronto - Aug. 24, 2012",2012-08-24,Concert Review,
0911,https://github.com/lilbud/btx-article-dump/articles/concert_review/2009-11-20_bruce_springsteen_show_a_concert_of_a_[0911].md,Sam Sessa,Baltimore Sun,Bruce Springsteen show a concert of a lifetime,2009-11-20,Concert Review,
0912,https://github.com/lilbud/btx-article-dump/articles/concert_review/2008-08-20_springsteen_electrifies_adoring_crowd_in_[0912].md,Dave Pidgeon,Intelligencer Journal,Springsteen electrifies adoring crowd in Hershey,2008-08-20,Concert Review,
0913,https://github.com/lilbud/btx-article-dump/articles/book_excerpt/2013-09-17_excerpt_from_bruce_[0913].md,Peter Ames Carlin,Bruce,Excerpt from 'Bruce',2013-09-17,Book Excerpt,
0914,https://github.com/lilbud/btx-article-dump/articles/concert_review/2012-06-21_stadium_of_light_sunderland_review_[0914].md,Kitty Empire,The Guardian,"Stadium of Light, Sunderland review",2012-06-21,Concert Review,
